Valore,Categoria
180.16926605996787,uomo
172.84285652569457,donna
174.19046202328232,uomo
172.89227413087497,uomo
164.65034606742802,uomo
169.69093723066385,donna
171.7755286032815,uomo
182.3998555835324,uomo
177.40532802697922,uomo
166.78190803939913,donna
177.26858778576357,uomo
172.3044240370858,uomo
170.2615459978583,uomo
179.28173402188608,uomo
166.75843483979207,donna
181.5189608338134,uomo
176.19464706686853,donna
167.84299752547074,donna
157.8521790167841,donna
181.82881588985651,uomo
159.15190997863607,donna
173.70038716335327,uomo
171.95157347404444,donna
160.07590608988974,donna
170.78025677546594,donna
167.47668556161898,donna
169.93236095996693,donna
176.3807578959237,donna
163.52767130398277,donna
160.47758301385505,donna
177.52976923855888,uomo
185.7662559652618,uomo
164.53738974351538,donna
167.04691184889987,donna
166.6601447959801,donna
180.75331753062656,uomo
165.07801135126743,donna
172.90694854673893,uomo
175.64232543574852,uomo
161.08701759779376,uomo
173.46229678513743,uomo
177.4997880005822,uomo
158.57464501163332,donna
167.8948344914591,donna
163.6592232880449,donna
169.28400296455254,donna
167.83942574744128,donna
177.30125776761778,uomo
159.91923769158956,donna
155.9109166518848,donna
175.6795428454363,uomo
170.13839276594084,donna
170.08562834285854,uomo
157.52556732772808,donna
172.2552429280749,uomo
167.31190427837302,donna
159.6968553827932,donna
176.82738690525923,uomo
175.03579419649722,uomo
173.35789006637398,uomo
165.0924048056471,uomo
172.05548274064247,uomo
172.60099838431262,uomo
169.38405911544868,uomo
173.87100001833792,uomo
159.37304976050928,donna
168.09021160325196,donna
176.22204468982287,uomo
168.09028611783629,donna
188.1163889439283,donna
168.425343064159,donna
171.81339384108358,donna
175.4216114695872,uomo
168.90834750783478,donna
173.65347324653214,uomo
169.5538153229596,donna
160.36304871277457,donna
163.57908835955993,donna
182.99975970160514,uomo
165.49124483631795,donna
180.53722362930134,uomo
153.7964088444495,donna
184.8195601765527,uomo
155.3237047728621,donna
179.1079996566019,uomo
190.33318938066986,uomo
165.38568011457278,donna
171.0359158927806,uomo
160.70817774444018,donna
169.07758649360807,donna
160.61780020969718,donna
166.29875153749185,donna
165.2734310394229,donna
161.0903979143651,donna
177.86366453595195,donna
168.80351413390807,donna
152.84914448005435,donna
166.11872588861655,donna
161.02928121138967,donna
166.3839497849623,uomo
